Data as of,Start Date,End Date,Sex,Age Years,Total_deaths,COVID_Deaths,Age,Death_rate
2/22/2021,1/1/2020,2/20/2021,Male,00 year,11090,30,0,0.270513977
2/22/2021,1/1/2020,2/20/2021,Male,01 Years,792,7,1,0.883838384
2/22/2021,1/1/2020,2/20/2021,Male,02 Years,529,3,2,0.56710775
2/22/2021,1/1/2020,2/20/2021,Male,03 Years,426,2,3,0.469483568
2/22/2021,1/1/2020,2/20/2021,Male,04 Years,329,3,4,0.911854103
2/22/2021,1/1/2020,2/20/2021,Male,05 Years,317,5,5,1.577287066
2/22/2021,1/1/2020,2/20/2021,Male,06 Years,256,1,6,0.390625
2/22/2021,1/1/2020,2/20/2021,Male,07 Years,250,4,7,1.6
2/22/2021,1/1/2020,2/20/2021,Male,08 Years,222,4,8,1.801801802
2/22/2021,1/1/2020,2/20/2021,Male,09 Years,245,4,9,1.632653061
2/22/2021,1/1/2020,2/20/2021,Male,10 Years,287,3,10,1.045296167
2/22/2021,1/1/2020,2/20/2021,Male,11 Years,323,5,11,1.547987616
2/22/2021,1/1/2020,2/20/2021,Male,12 Years,361,8,12,2.216066482
